trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
1153793,254,2016-04-07 18:08:00 UTC,Redwood City Caltrain Station,22,2016-04-07 18:12:00 UTC,Mezes,83,642,94063,Subscriber
999506,260,2015-11-05 18:09:00 UTC,Redwood City Caltrain Station,22,2015-11-05 18:13:00 UTC,Mezes,83,657,94063,Subscriber
940890,279,2015-09-22 11:56:00 UTC,Redwood City Caltrain Station,22,2015-09-22 12:00:00 UTC,Mezes,83,88,94063,Subscriber
1068467,289,2016-01-22 17:07:00 UTC,Redwood City Caltrain Station,22,2016-01-22 17:12:00 UTC,Mezes,83,233,94063,Subscriber
992702,272,2015-10-30 18:07:00 UTC,Redwood City Caltrain Station,22,2015-10-30 18:12:00 UTC,Mezes,83,52,94063,Subscriber
1052902,275,2016-01-06 15:57:00 UTC,Redwood City Caltrain Station,22,2016-01-06 16:01:00 UTC,Mezes,83,246,94063,Subscriber
1163942,283,2016-04-15 17:07:00 UTC,Redwood City Caltrain Station,22,2016-04-15 17:12:00 UTC,Mezes,83,642,94063,Subscriber
974374,221,2015-10-16 17:43:00 UTC,Redwood City Caltrain Station,22,2015-10-16 17:46:00 UTC,Mezes,83,650,94063,Subscriber
950743,263,2015-09-29 17:33:00 UTC,Redwood City Caltrain Station,22,2015-09-29 17:37:00 UTC,Mezes,83,88,94063,Subscriber
1134883,312,2016-03-23 17:32:00 UTC,Redwood City Caltrain Station,22,2016-03-23 17:37:00 UTC,Mezes,83,299,94063,Subscriber
1160949,270,2016-04-13 18:08:00 UTC,Redwood City Caltrain Station,22,2016-04-13 18:12:00 UTC,Mezes,83,642,94063,Subscriber
1067727,282,2016-01-21 18:08:00 UTC,Redwood City Caltrain Station,22,2016-01-21 18:12:00 UTC,Mezes,83,233,94063,Subscriber
934706,243,2015-09-17 09:22:00 UTC,Redwood City Caltrain Station,22,2015-09-17 09:26:00 UTC,Mezes,83,215,94707,Subscriber
1129807,293,2016-03-18 17:07:00 UTC,Redwood City Caltrain Station,22,2016-03-18 17:12:00 UTC,Mezes,83,44,94063,Subscriber
1034666,271,2015-12-09 20:23:00 UTC,Redwood City Caltrain Station,22,2015-12-09 20:28:00 UTC,Mezes,83,84,94063,Subscriber
938968,180,2015-09-21 09:29:00 UTC,Redwood City Caltrain Station,22,2015-09-21 09:32:00 UTC,Mezes,83,256,94707,Subscriber
1157361,240,2016-04-11 18:07:00 UTC,Redwood City Caltrain Station,22,2016-04-11 18:11:00 UTC,Mezes,83,642,94063,Subscriber
954253,213,2015-10-01 19:27:00 UTC,Redwood City Caltrain Station,22,2015-10-01 19:30:00 UTC,Mezes,83,102,94063,Subscriber
1004458,265,2015-11-10 18:08:00 UTC,Redwood City Caltrain Station,22,2015-11-10 18:13:00 UTC,Mezes,83,182,94063,Subscriber
1016549,225,2015-11-19 21:34:00 UTC,Redwood City Caltrain Station,22,2015-11-19 21:37:00 UTC,Mezes,83,28,94063,Subscriber
1138219,3951,2016-03-26 11:12:00 UTC,Redwood City Caltrain Station,22,2016-03-26 12:18:00 UTC,Mezes,83,577,94117,Customer
980145,352,2015-10-21 17:31:00 UTC,Redwood City Caltrain Station,22,2015-10-21 17:37:00 UTC,Mezes,83,650,94063,Subscriber
955298,286,2015-10-02 16:20:00 UTC,Redwood City Caltrain Station,22,2015-10-02 16:24:00 UTC,Mezes,83,102,94063,Subscriber
1172486,235,2016-04-21 18:31:00 UTC,Redwood City Caltrain Station,22,2016-04-21 18:35:00 UTC,Mezes,83,91,94063,Subscriber
1099118,294,2016-02-19 17:07:00 UTC,Redwood City Caltrain Station,22,2016-02-19 17:12:00 UTC,Mezes,83,196,94063,Subscriber
264601,440,2014-04-29 09:23:00 UTC,Japantown,9,2014-04-29 09:30:00 UTC,Japantown,9,221,95122,Subscriber
1009664,8864,2015-11-14 14:51:00 UTC,Japantown,9,2015-11-14 17:18:00 UTC,Japantown,9,676,nil,Customer
