tree_id,site_order,permit_notes,site_info,plant_type,plant_date
44581,145,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
46148,2,Permit Number 44491,Sidewalk: Curb side : Cutout,Tree,2001-12-27 00:00:00 UTC
48220,2,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48274,84,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
46726,3,Permit Number 44843,Sidewalk: Curb side : Cutout,Tree,2002-04-24 00:00:00 UTC
35175,7,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
44636,164,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
45379,4,Permit Number 44200,Sidewalk: Curb side : Cutout,Tree,
34337,14,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
45989,222,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
46293,9,Permit Number 44564,Sidewalk: Curb side : Cutout,Tree,2002-01-31 00:00:00 UTC
35184,6,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
48481,5,Permit Number 45832,Sidewalk: Curb side : Cutout,Tree,2002-08-15 00:00:00 UTC
48316,182,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
35701,13,Permit Number 38993,Sidewalk: Curb side : Cutout,Tree,1998-04-10 00:00:00 UTC
97356,6,"",Unaccepted Street : Yard,Tree,
34004,3,Permit Number 37940,Sidewalk: Curb side : Cutout,Tree,
44884,157,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44650,70,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
43481,9,Permit Number 43169,Sidewalk: Curb side : Cutout,Tree,2000-07-19 00:00:00 UTC
44625,153,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
33930,5,Permit Number 37893,Sidewalk: Curb side : Cutout,Tree,1997-03-25 00:00:00 UTC
48174,67,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44915,188,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
36647,19,Permit Number 39461,Sidewalk: Curb side : Cutout,Tree,1998-05-20 00:00:00 UTC
38804,2,Permit Number 40645,Sidewalk: Curb side : Cutout,Tree,1998-10-23 00:00:00 UTC
45979,128,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
35187,17,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
44896,130,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
36626,7,Permit Number 39461,Sidewalk: Curb side : Cutout,Tree,1998-05-20 00:00:00 UTC
48165,28,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
44679,99,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
45028,101,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
45887,2,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
35799,2,Permit Number 39046,Sidewalk: Curb side : Cutout,Tree,1998-04-22 00:00:00 UTC
38798,10,Permit Number 40645,Sidewalk: Curb side : Cutout,Tree,1998-10-23 00:00:00 UTC
45024,97,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
44868,27,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
38805,1,Permit Number 40645,Sidewalk: Curb side : Cutout,Tree,1998-10-23 00:00:00 UTC
45001,102,Permit Number 43922,Sidewalk: Curb side : Cutout,Tree,2001-04-25 00:00:00 UTC
34132,3,Permit Number 37986,Sidewalk: Curb side : Cutout,Tree,1997-07-05 00:00:00 UTC
60867,1,Permit Number 20649,Sidewalk: Curb side : Cutout,Tree,1983-04-25 00:00:00 UTC
44623,151,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
